token_id,split,speaker_id,utterance_id,token_index,lexical_target,predicted_tone,error_group,previous_lexical_tone,following_lexical_tone,context_status,sandhi_context,sandhi_interpretation,surface_label_status,surface_label_evidence,boundary_flag_status,boundary_flag_evidence,pitch_flag_status,pitch_flag_evidence,duration_seconds,voiced_proportion
00201020_08,train,02010,00201020,8,T3,T1,T3_to_T1,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201114_00,train,02011,00201114,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201120_00,train,02011,00201120,0,T3,T2,T3_to_T2,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201120_05,train,02011,00201120,5,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201120_08,train,02011,00201120,8,T3,T2,T3_to_T2,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201214_00,train,02012,00201214,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201220_00,train,02012,00201220,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201220_05,train,02012,00201220,5,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201220_08,train,02012,00201220,8,T3,T3,T3_correct,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201314_00,train,02013,00201314,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201320_00,train,02013,00201320,0,T3,T1,T3_to_T1,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201320_08,train,02013,00201320,8,T3,T3,T3_correct,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201614_00,train,02016,00201614,0,T3,T4,T3_to_T4,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201620_00,train,02016,00201620,0,T3,T4,T3_to_T4,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201620_05,train,02016,00201620,5,T3,T4,T3_to_T4,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201620_08,train,02016,00201620,8,T3,T4,T3_to_T4,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201820_00,train,02018,00201820,0,T3,T4,T3_to_T4,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201820_08,train,02018,00201820,8,T3,T3,T3_correct,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201920_05,train,02019,00201920,5,T3,T2,T3_to_T2,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00201920_08,train,02019,00201920,8,T3,T3,T3_correct,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202014_00,train,02020,00202014,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202020_00,train,02020,00202020,0,T3,T4,T3_to_T4,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202020_05,train,02020,00202020,5,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202020_08,train,02020,00202020,8,T3,T2,T3_to_T2,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202114_00,train,02021,00202114,0,T3,T4,T3_to_T4,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202120_00,train,02021,00202120,0,T3,T4,T3_to_T4,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202120_05,train,02021,00202120,5,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202214_00,train,02022,00202214,0,T3,T2,T3_to_T2,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202220_00,train,02022,00202220,0,T3,T3,T3_correct,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202220_05,train,02022,00202220,5,T3,T2,T3_to_T2,,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202220_08,train,02022,00202220,8,T3,T2,T3_to_T2,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202408_04,train,02024,00202408,4,T3,T4,T3_to_T4,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202411_08,train,02024,00202411,8,T3,T3,T3_correct,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202426_08,train,02024,00202426,8,T3,T3,T3_correct,T1,T3,available,T3_plus_T3,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202426_09,train,02024,00202426,9,T3,T4,T3_to_T4,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202428_04,train,02024,00202428,4,T3,T4,T3_to_T4,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202428_07,train,02024,00202428,7,T3,T4,T3_to_T4,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202429_03,train,02024,00202429,3,T3,T3,T3_correct,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202429_08,train,02024,00202429,8,T3,T4,T3_to_T4,T2,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202811_08,train,02028,00202811,8,T3,T3,T3_correct,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202826_08,train,02028,00202826,8,T3,T1,T3_to_T1,T1,T3,available,T3_plus_T3,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202826_09,train,02028,00202826,9,T3,T4,T3_to_T4,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202828_04,train,02028,00202828,4,T3,T4,T3_to_T4,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202828_07,train,02028,00202828,7,T3,T1,T3_to_T1,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202829_03,train,02028,00202829,3,T3,T3,T3_correct,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202829_08,train,02028,00202829,8,T3,T4,T3_to_T4,T2,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202908_04,train,02029,00202908,4,T3,T3,T3_correct,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202911_08,train,02029,00202911,8,T3,T3,T3_correct,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202926_08,train,02029,00202926,8,T3,T2,T3_to_T2,T1,T3,available,T3_plus_T3,possible_surface_T2_not_gold_override,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202926_09,train,02029,00202926,9,T3,T2,T3_to_T2,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202928_04,train,02029,00202928,4,T3,T3,T3_correct,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202928_07,train,02029,00202928,7,T3,T2,T3_to_T2,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202929_03,train,02029,00202929,3,T3,T3,T3_correct,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00202929_08,train,02029,00202929,8,T3,T3,T3_correct,T2,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203011_08,train,02030,00203011,8,T3,T3,T3_correct,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203026_08,train,02030,00203026,8,T3,T3,T3_correct,T1,T3,available,T3_plus_T3,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203026_09,train,02030,00203026,9,T3,T2,T3_to_T2,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203028_04,train,02030,00203028,4,T3,T3,T3_correct,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203029_03,train,02030,00203029,3,T3,T3,T3_correct,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203029_08,train,02030,00203029,8,T3,T3,T3_correct,T2,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203108_04,train,02031,00203108,4,T3,T1,T3_to_T1,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203111_08,train,02031,00203111,8,T3,T3,T3_correct,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203126_09,train,02031,00203126,9,T3,T3,T3_correct,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203128_04,train,02031,00203128,4,T3,T1,T3_to_T1,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203129_03,train,02031,00203129,3,T3,T2,T3_to_T2,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203129_08,train,02031,00203129,8,T3,T1,T3_to_T1,T2,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203308_04,train,02033,00203308,4,T3,T3,T3_correct,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203311_08,train,02033,00203311,8,T3,T3,T3_correct,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203326_08,train,02033,00203326,8,T3,T3,T3_correct,T1,T3,available,T3_plus_T3,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203326_09,train,02033,00203326,9,T3,T3,T3_correct,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203328_04,train,02033,00203328,4,T3,T2,T3_to_T2,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203328_07,train,02033,00203328,7,T3,T3,T3_correct,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203329_03,train,02033,00203329,3,T3,T3,T3_correct,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203329_08,train,02033,00203329,8,T3,T3,T3_correct,T2,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203408_04,train,02034,00203408,4,T3,T3,T3_correct,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203411_08,train,02034,00203411,8,T3,T3,T3_correct,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203426_08,train,02034,00203426,8,T3,T3,T3_correct,T1,T3,available,T3_plus_T3,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203426_09,train,02034,00203426,9,T3,T3,T3_correct,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203428_04,train,02034,00203428,4,T3,T3,T3_correct,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203428_07,train,02034,00203428,7,T3,T3,T3_correct,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203429_03,train,02034,00203429,3,T3,T4,T3_to_T4,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203429_08,train,02034,00203429,8,T3,T4,T3_to_T4,T2,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203511_08,train,02035,00203511,8,T3,T3,T3_correct,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203526_08,train,02035,00203526,8,T3,T2,T3_to_T2,T1,T3,available,T3_plus_T3,possible_surface_T2_not_gold_override,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203526_09,train,02035,00203526,9,T3,T3,T3_correct,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203528_04,train,02035,00203528,4,T3,T3,T3_correct,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203529_03,train,02035,00203529,3,T3,T3,T3_correct,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203529_08,train,02035,00203529,8,T3,T3,T3_correct,T2,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203808_04,train,02038,00203808,4,T3,T3,T3_correct,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203811_08,train,02038,00203811,8,T3,T4,T3_to_T4,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203826_08,train,02038,00203826,8,T3,T3,T3_correct,T1,T3,available,T3_plus_T3,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203826_09,train,02038,00203826,9,T3,T4,T3_to_T4,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203828_04,train,02038,00203828,4,T3,T4,T3_to_T4,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203828_07,train,02038,00203828,7,T3,T4,T3_to_T4,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203829_03,train,02038,00203829,3,T3,T4,T3_to_T4,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203908_04,train,02039,00203908,4,T3,T2,T3_to_T2,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203926_08,train,02039,00203926,8,T3,T3,T3_correct,T1,T3,available,T3_plus_T3,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00203928_04,train,02039,00203928,4,T3,T2,T3_to_T2,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204108_04,train,02041,00204108,4,T3,T4,T3_to_T4,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204111_08,train,02041,00204111,8,T3,T3,T3_correct,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204126_09,train,02041,00204126,9,T3,T3,T3_correct,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204128_04,train,02041,00204128,4,T3,T3,T3_correct,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204128_07,train,02041,00204128,7,T3,T3,T3_correct,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204129_03,train,02041,00204129,3,T3,T1,T3_to_T1,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204129_08,train,02041,00204129,8,T3,T3,T3_correct,T2,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204208_04,train,02042,00204208,4,T3,T3,T3_correct,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204211_08,train,02042,00204211,8,T3,T3,T3_correct,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204226_09,train,02042,00204226,9,T3,T2,T3_to_T2,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204228_04,train,02042,00204228,4,T3,T2,T3_to_T2,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204228_07,train,02042,00204228,7,T3,T2,T3_to_T2,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204229_03,train,02042,00204229,3,T3,T2,T3_to_T2,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204308_04,train,02043,00204308,4,T3,T1,T3_to_T1,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204311_08,train,02043,00204311,8,T3,T4,T3_to_T4,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204326_08,train,02043,00204326,8,T3,T4,T3_to_T4,T1,T3,available,T3_plus_T3,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204328_04,train,02043,00204328,4,T3,T3,T3_correct,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204328_07,train,02043,00204328,7,T3,T4,T3_to_T4,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204329_03,train,02043,00204329,3,T3,T4,T3_to_T4,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204408_04,train,02044,00204408,4,T3,T2,T3_to_T2,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204411_08,train,02044,00204411,8,T3,T4,T3_to_T4,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204426_08,train,02044,00204426,8,T3,T4,T3_to_T4,T1,T3,available,T3_plus_T3,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204426_09,train,02044,00204426,9,T3,T3,T3_correct,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204428_04,train,02044,00204428,4,T3,T4,T3_to_T4,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204429_03,train,02044,00204429,3,T3,T2,T3_to_T2,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204526_08,train,02045,00204526,8,T3,T3,T3_correct,T1,T3,available,T3_plus_T3,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204526_09,train,02045,00204526,9,T3,T4,T3_to_T4,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204528_04,train,02045,00204528,4,T3,T4,T3_to_T4,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
