review_id,token_id,segment_path,utterance_path,speaker_id,utterance_id,token_index,word,expected_pinyin,expected_tone,start_seconds,end_seconds,duration_seconds,alignment_score,alignment_status,flag_reason,majority_tone_correct
R028,00200520_05,alignment_pilot_segments/00200520_05.wav,../../../private-data/ompal/wav/SPEAKER02005/00200520.wav,02005,00200520,5,小,xiǎo,3,1.8841,2.0845,0.2004,0.9908,good,,0
R029,00202518_04,alignment_pilot_segments/00202518_04.wav,../../../private-data/ompal/wav/SPEAKER02025/00202518.wav,02025,00202518,4,人,rén,2,3.1524,3.2929,0.1406,0.9967,good,,0
R030,00200514_00,alignment_pilot_segments/00200514_00.wav,../../../private-data/ompal/wav/SPEAKER02005/00200514.wav,02005,00200514,0,小,xiǎo,3,0.4618,0.7028,0.2410,0.7938,good,,0
R031,00200920_05,alignment_pilot_segments/00200920_05.wav,../../../private-data/ompal/wav/SPEAKER02009/00200920.wav,02009,00200920,5,小,xiǎo,3,1.5231,1.7034,0.1804,0.9953,questionable,weak_voicing,1
R032,00200120_13,alignment_pilot_segments/00200120_13.wav,../../../private-data/ompal/wav/SPEAKER02001/00200120.wav,02001,00200120,13,一,yī,1,7.5650,7.6050,0.0400,0.4884,failed,no_voiced_nucleus,1
R033,00202629_04,alignment_pilot_segments/00202629_04.wav,../../../private-data/ompal/wav/SPEAKER02026/00202629.wav,02026,00202629,4,機,jī,1,6.6313,6.8116,0.1803,0.9435,failed,no_voiced_nucleus,0
R034,00204011_06,alignment_pilot_segments/00204011_06.wav,../../../private-data/ompal/wav/SPEAKER02040/00204011.wav,02040,00204011,6,福,fú,2,1.4677,1.6487,0.1810,0.9309,failed,no_voiced_nucleus,0
R035,00200620_15,alignment_pilot_segments/00200620_15.wav,../../../private-data/ompal/wav/SPEAKER02006/00200620.wav,02006,00200620,15,床,chuáng,2,6.3101,6.6506,0.3405,0.9150,failed,no_voiced_nucleus,0
R036,00200120_08,alignment_pilot_segments/00200120_08.wav,../../../private-data/ompal/wav/SPEAKER02001/00200120.wav,02001,00200120,8,兩,liǎng,3,5.0433,5.2635,0.2201,0.1288,questionable,low_alignment_score,0
R037,00201020_05,alignment_pilot_segments/00201020_05.wav,../../../private-data/ompal/wav/SPEAKER02010/00201020.wav,02010,00201020,5,小,xiǎo,3,3.8833,4.1436,0.2602,0.9755,questionable,weak_voicing,1
R038,00201014_08,alignment_pilot_segments/00201014_08.wav,../../../private-data/ompal/wav/SPEAKER02010/00201014.wav,02010,00201014,8,花,huā,1,4.3385,4.4590,0.1205,0.9942,questionable,weak_voicing,0
R039,00201820_13,alignment_pilot_segments/00201820_13.wav,../../../private-data/ompal/wav/SPEAKER02018/00201820.wav,02018,00201820,13,一,yī,1,8.2708,8.3509,0.0801,0.7367,good,,1
R040,00200317_01,alignment_pilot_segments/00200317_01.wav,../../../private-data/ompal/wav/SPEAKER02003/00200317.wav,02003,00200317,1,四,sì,4,1.2892,1.4302,0.1410,0.8976,good,,1
R041,00202629_07,alignment_pilot_segments/00202629_07.wav,../../../private-data/ompal/wav/SPEAKER02026/00202629.wav,02026,00202629,7,條,tiáo,2,10.2574,10.5379,0.2805,0.9017,good,,0
R042,00200914_07,alignment_pilot_segments/00200914_07.wav,../../../private-data/ompal/wav/SPEAKER02009/00200914.wav,02009,00200914,7,花,huā,1,2.7147,2.8353,0.1207,0.9961,questionable,weak_voicing,1
R043,00200814_06,alignment_pilot_segments/00200814_06.wav,../../../private-data/ompal/wav/SPEAKER02008/00200814.wav,02008,00200814,6,是,shì,4,3.2746,3.4152,0.1406,0.9636,good,,1
R044,00200614_06,alignment_pilot_segments/00200614_06.wav,../../../private-data/ompal/wav/SPEAKER02006/00200614.wav,02006,00200614,6,是,shì,4,2.6745,2.7750,0.1005,0.9873,questionable,weak_voicing,1
R045,00201214_08,alignment_pilot_segments/00201214_08.wav,../../../private-data/ompal/wav/SPEAKER02012/00201214.wav,02012,00201214,8,花,huā,1,3.9568,4.0974,0.1406,0.8843,good,,1
R046,00200114_04,alignment_pilot_segments/00200114_04.wav,../../../private-data/ompal/wav/SPEAKER02001/00200114.wav,02001,00200114,4,字,zì,4,1.3259,1.4464,0.1205,0.9903,questionable,weak_voicing,1
R047,00201920_15,alignment_pilot_segments/00201920_15.wav,../../../private-data/ompal/wav/SPEAKER02019/00201920.wav,02019,00201920,15,床,chuáng,2,13.1135,13.4539,0.3404,0.8601,good,,0
R048,00202626_07,alignment_pilot_segments/00202626_07.wav,../../../private-data/ompal/wav/SPEAKER02026/00202626.wav,02026,00202626,7,餐,cān,1,9.5126,9.7529,0.2403,0.8887,failed,no_voiced_nucleus,0
