token_id,speaker_id,utterance_id,token_position,character,expected_pinyin,expected_tone,syllable_base,moe_verified,moe_verification_status,audio_annotation_matched,alignment_eligible,eligibility_exclusion_reason_primary,eligibility_exclusion_reasons_all,n_rated_tokens_in_utterance,n_undetermined_in_utterance,speech_type,ompal_label,source_audio_path,annotation_source,dataset_version,pipeline_version
00100104_04,01001,00100104,4,一,yī,1,yi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,3,native,1,private-data/ompal/wav/SPEAKER01001/00100104.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100104_05,01001,00100104,5,隻,zhī,1,zhi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,3,native,1,private-data/ompal/wav/SPEAKER01001/00100104.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100104_06,01001,00100104,6,小,xiǎo,3,xiao,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,3,native,1,private-data/ompal/wav/SPEAKER01001/00100104.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100104_08,01001,00100104,8,狗,gǒu,3,gou,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,3,native,1,private-data/ompal/wav/SPEAKER01001/00100104.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100105_01,01001,00100105,1,一,yī,1,yi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,1,native,1,private-data/ompal/wav/SPEAKER01001/00100105.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100105_02,01001,00100105,2,隻,zhī,1,zhi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,1,native,1,private-data/ompal/wav/SPEAKER01001/00100105.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100105_03,01001,00100105,3,大,,4,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,5,1,native,1,private-data/ompal/wav/SPEAKER01001/00100105.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100105_04,01001,00100105,4,花,huā,1,hua,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,1,native,1,private-data/ompal/wav/SPEAKER01001/00100105.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100105_05,01001,00100105,5,貓,māo,1,mao,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,1,native,1,private-data/ompal/wav/SPEAKER01001/00100105.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100106_00,01001,00100106,0,我,,3,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,5,2,native,1,private-data/ompal/wav/SPEAKER01001/00100106.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100106_03,01001,00100106,3,是,shì,4,shi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,2,native,1,private-data/ompal/wav/SPEAKER01001/00100106.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100106_04,01001,00100106,4,一,yī,1,yi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,2,native,1,private-data/ompal/wav/SPEAKER01001/00100106.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100106_07,01001,00100106,7,名,míng,2,ming,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,2,native,1,private-data/ompal/wav/SPEAKER01001/00100106.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100106_09,01001,00100106,9,大,,4,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,5,2,native,1,private-data/ompal/wav/SPEAKER01001/00100106.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100107_00,01001,00100107,0,我,,3,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100107.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100107_01,01001,00100107,1,母,mǔ,3,mu,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100107.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100107_03,01001,00100107,3,是,shì,4,shi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100107.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100107_05,01001,00100107,5,學,xué,2,xue,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100107.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100107_06,01001,00100107,6,英,yīng,1,ying,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100107.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100107_08,01001,00100107,8,老,lǎo,3,lao,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100107.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100107_09,01001,00100107,9,師,shī,1,shi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,7,1,native,1,private-data/ompal/wav/SPEAKER01001/00100107.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100108_00,01001,00100108,0,他,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,4,2,native,1,private-data/ompal/wav/SPEAKER01001/00100108.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100108_02,01001,00100108,2,都,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,4,2,native,1,private-data/ompal/wav/SPEAKER01001/00100108.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100108_04,01001,00100108,4,常,cháng,2,chang,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,4,2,native,1,private-data/ompal/wav/SPEAKER01001/00100108.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100108_05,01001,00100108,5,忙,máng,2,mang,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,4,2,native,1,private-data/ompal/wav/SPEAKER01001/00100108.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100109_00,01001,00100109,0,我,,3,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100109.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100109_01,01001,00100109,1,哥,gē,1,ge,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100109.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100109_02,01001,00100109,2,哥,gē,1,ge,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100109.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100109_03,01001,00100109,3,是,shì,4,shi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100109.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100109_04,01001,00100109,4,大,,4,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100109.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100109_05,01001,00100109,5,學,xué,2,xue,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100109.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100109_06,01001,00100109,6,生,shēng,1,sheng,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100109.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100109_07,01001,00100109,7,學,xué,2,xue,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100109.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100110_00,01001,00100110,0,他,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,3,1,native,1,private-data/ompal/wav/SPEAKER01001/00100110.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100110_03,01001,00100110,3,很,hěn,3,hen,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,3,1,native,1,private-data/ompal/wav/SPEAKER01001/00100110.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100110_04,01001,00100110,4,高,gāo,1,gao,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,3,1,native,1,private-data/ompal/wav/SPEAKER01001/00100110.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100111_00,01001,00100111,0,他,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,5,3,native,1,private-data/ompal/wav/SPEAKER01001/00100111.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100111_03,01001,00100111,3,學,xué,2,xue,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,3,native,1,private-data/ompal/wav/SPEAKER01001/00100111.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100111_04,01001,00100111,4,都,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,5,3,native,1,private-data/ompal/wav/SPEAKER01001/00100111.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100111_05,01001,00100111,5,叫,jiào,4,jiao,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,3,native,1,private-data/ompal/wav/SPEAKER01001/00100111.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100111_06,01001,00100111,6,他,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,5,3,native,1,private-data/ompal/wav/SPEAKER01001/00100111.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100112_00,01001,00100112,0,他,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100112.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100112_03,01001,00100112,3,朋,péng,2,peng,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100112.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100112_04,01001,00100112,4,友,yǒu,3,you,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100112.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100112_05,01001,00100112,5,很,hěn,3,hen,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100112.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100112_08,01001,00100112,8,是,shì,4,shi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100112.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100112_09,01001,00100112,9,日,,4,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100112.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100112_10,01001,00100112,10,本,běn,3,ben,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100112.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100112_11,01001,00100112,11,人,rén,2,ren,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,8,2,native,1,private-data/ompal/wav/SPEAKER01001/00100112.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100113_00,01001,00100113,0,我,,3,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,4,1,native,1,private-data/ompal/wav/SPEAKER01001/00100113.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100113_02,01001,00100113,2,小,xiǎo,3,xiao,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,4,1,native,1,private-data/ompal/wav/SPEAKER01001/00100113.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100113_03,01001,00100113,3,狗,gǒu,3,gou,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,4,1,native,1,private-data/ompal/wav/SPEAKER01001/00100113.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100113_04,01001,00100113,4,叫,jiào,4,jiao,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,4,1,native,1,private-data/ompal/wav/SPEAKER01001/00100113.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100114_00,01001,00100114,0,小,xiǎo,3,xiao,1,verified,1,1,,,7,0,native,1,private-data/ompal/wav/SPEAKER01001/00100114.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100114_01,01001,00100114,1,貓,māo,1,mao,1,verified,1,1,,,7,0,native,1,private-data/ompal/wav/SPEAKER01001/00100114.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100114_03,01001,00100114,3,名,míng,2,ming,1,verified,1,1,,,7,0,native,1,private-data/ompal/wav/SPEAKER01001/00100114.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100114_04,01001,00100114,4,字,zì,4,zi,1,verified,1,1,,,7,0,native,1,private-data/ompal/wav/SPEAKER01001/00100114.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100114_06,01001,00100114,6,是,shì,4,shi,1,verified,1,1,,,7,0,native,1,private-data/ompal/wav/SPEAKER01001/00100114.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100114_07,01001,00100114,7,花,huā,1,hua,1,verified,1,1,,,7,0,native,1,private-data/ompal/wav/SPEAKER01001/00100114.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100114_08,01001,00100114,8,花,huā,1,hua,1,verified,1,1,,,7,0,native,1,private-data/ompal/wav/SPEAKER01001/00100114.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100115_00,01001,00100115,0,你,nǐ,3,ni,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,3,native,1,private-data/ompal/wav/SPEAKER01001/00100115.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100115_02,01001,00100115,2,這,,4,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,5,3,native,1,private-data/ompal/wav/SPEAKER01001/00100115.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100115_03,01001,00100115,3,是,shì,4,shi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,5,3,native,1,private-data/ompal/wav/SPEAKER01001/00100115.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100115_04,01001,00100115,4,我,,3,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,5,3,native,1,private-data/ompal/wav/SPEAKER01001/00100115.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100115_06,01001,00100115,6,家,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,5,3,native,1,private-data/ompal/wav/SPEAKER01001/00100115.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100116_00,01001,00100116,0,我,,3,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,6,3,native,1,private-data/ompal/wav/SPEAKER01001/00100116.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100116_02,01001,00100116,2,家,,1,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,6,3,native,1,private-data/ompal/wav/SPEAKER01001/00100116.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100116_04,01001,00100116,4,房,fáng,2,fang,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,6,3,native,1,private-data/ompal/wav/SPEAKER01001/00100116.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100116_07,01001,00100116,7,大,,4,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,6,3,native,1,private-data/ompal/wav/SPEAKER01001/00100116.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100116_08,01001,00100116,8,也,yě,3,ye,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,6,3,native,1,private-data/ompal/wav/SPEAKER01001/00100116.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100116_10,01001,00100116,10,小,xiǎo,3,xiao,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,6,3,native,1,private-data/ompal/wav/SPEAKER01001/00100116.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100117_01,01001,00100117,1,四,sì,4,si,1,verified,1,1,,,2,0,native,1,private-data/ompal/wav/SPEAKER01001/00100117.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100117_03,01001,00100117,3,房,fáng,2,fang,1,verified,1,1,,,2,0,native,1,private-data/ompal/wav/SPEAKER01001/00100117.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100118_00,01001,00100118,0,還,,2,,1,verified_tone_only,1,0,token_pronunciation_segmentally_undetermined,token_pronunciation_segmentally_undetermined,6,1,native,1,private-data/ompal/wav/SPEAKER01001/00100118.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
00100118_02,01001,00100118,2,一,yī,1,yi,1,verified,1,0,utterance_dropped_sibling_token_undetermined,utterance_dropped_sibling_token_undetermined,6,1,native,1,private-data/ompal/wav/SPEAKER01001/00100118.wav,native_scores.json,ompal-tone-benchmark-1.0,align-mmsfa-star-0ms-1.0
