test_id,category,input,expected_behaviour,observed_behaviour,result,severity,notes
TV062,audio robustness,every exception path still resolves to a decision,0 unresolved,0 unresolved,PASS,,
TV063,audio robustness,digital_silence resolves to RETRY,RETRY,RETRY (insufficient_voiced_frames),PASS,,
TV064,audio robustness,empty_audio resolves to RETRY,RETRY,RETRY (too_short_for_pitch),PASS,,
TV065,audio robustness,very_short_10ms resolves to RETRY,RETRY,RETRY (too_short_for_pitch),PASS,,
TV066,audio robustness,corrupted_file resolves to RETRY,RETRY,RETRY (unreadable_input),PASS,,
TV067,audio robustness,unsupported_file resolves to RETRY,RETRY,RETRY (unreadable_input),PASS,,
TV068,audio robustness,missing_file resolves to RETRY,RETRY,RETRY (unreadable_input),PASS,,
TV069,audio robustness,nan_samples resolves to RETRY,RETRY,RETRY (insufficient_voiced_frames),PASS,,
TV070,audio robustness,inf_samples resolves to RETRY,RETRY,RETRY (insufficient_voiced_frames),PASS,,
TV071,audio robustness,white_noise_unvoiced resolves to RETRY,RETRY,RETRY (insufficient_voiced_frames),PASS,,
TV072,audio robustness,stereo input is refused rather than mis-parsed,"RETRY, not PASS",RETRY (multichannel_input),PASS,,
TV073,input validation,non-16 kHz input is rejected or resampled before pitch extraction,the same speech at 8/44.1/48 kHz is refused or scored identically,"3/3 rates silently produce a different score (16 kHz baseline 0.418525; 8000Hz=0.443864, 44100Hz=0.415709, 48000Hz=0.656886)",FAIL,HIGH,"trajectory_from_segment hardcodes SAMPLE_RATE=16000 and every call site discards the rate returned by sf.read, so the declared rate is never checked against the frozen 16 kHz assumption"
TV074,metamorphic,amplitude_x0.8: contour within pre-registered tolerance,<= 0.05 ST,worst 0.000000 ST,PASS,,worst score delta 0.000000 (tolerance 0.01)
TV075,metamorphic,amplitude_x0.8: PASS/RETRY decision preserved,identical decisions,6/6 preserved,PASS,,
TV076,metamorphic,amplitude_x1.2: contour within pre-registered tolerance,<= 0.05 ST,worst 0.000000 ST,PASS,,worst score delta 0.000000 (tolerance 0.01)
TV077,metamorphic,amplitude_x1.2: PASS/RETRY decision preserved,identical decisions,6/6 preserved,PASS,,
TV078,metamorphic,leading_silence_100ms: contour within pre-registered tolerance,<= 0.25 ST,worst 14.529286 ST,FAIL,HIGH,worst score delta 0.490876 (tolerance 0.05)
TV079,metamorphic,leading_silence_100ms: PASS/RETRY decision preserved,identical decisions,5/6 preserved,FAIL,HIGH,
TV080,metamorphic,trailing_silence_100ms: contour within pre-registered tolerance,<= 0.25 ST,worst 1.168805 ST,FAIL,HIGH,worst score delta 0.080445 (tolerance 0.05)
TV081,metamorphic,trailing_silence_100ms: PASS/RETRY decision preserved,identical decisions,6/6 preserved,PASS,,
TV082,metamorphic,lossless_wav_rewrite: contour within pre-registered tolerance,<= 1e-09 ST,worst 0.000000 ST,PASS,,worst score delta 0.000000 (tolerance 1e-09)
TV083,metamorphic,lossless_wav_rewrite: PASS/RETRY decision preserved,identical decisions,6/6 preserved,PASS,,
TV084,metamorphic,padding with an unchanged voiced span leaves the contour intact,<= 0.05 ST when the span does not move,3/12 cases kept their span; worst delta 0.006527 ST,PASS,,isolates the mechanism: padding itself is harmless
TV085,metamorphic,every large padding deviation is accompanied by a span change,no large deviation with a stable span,9/12 cases changed span (worst delta 14.529 ST); largest stable-span delta 0.006527 ST,PASS,,"the sensitivity is fully attributable to voiced-span redetection, not to an arithmetic error in the trajectory code"
TV086,metamorphic,silence padding makes the pitch tracker report extra voiced frames,documented mechanism,"9/9 span changes came from added voiced frames (e.g. 23->29 frames, first F0 189->354 Hz)",DIAGNOSTIC,INFO,
TV087,trajectory,synthetic level contour: pipeline numerically stable,20 finite points,"20 points, net 0.00 ST",PASS,,diagnostic: synthetic buzz is not a human production
TV088,trajectory,synthetic rising contour: pipeline numerically stable,20 finite points,"20 points, net 6.26 ST",PASS,,diagnostic: synthetic buzz is not a human production
TV089,trajectory,synthetic dipping contour: pipeline numerically stable,20 finite points,"20 points, net 2.62 ST",PASS,,diagnostic: synthetic buzz is not a human production
TV090,trajectory,synthetic falling contour: pipeline numerically stable,20 finite points,"20 points, net -9.38 ST",PASS,,diagnostic: synthetic buzz is not a human production
TV091,trajectory,synthetic rising/level/falling map to the expected contour sign,"rising > 0, level ~ 0, falling < 0","level=+0.00, rising=+6.26, dipping=+2.62, falling=-9.38",PASS,,transformation sanity only; says nothing about learner accuracy
TV092,fail-safe,sub-30 ms audio is refused with a named reason,"(None, too_short_for_pitch)","(None, too_short_for_pitch)",PASS,,
TV093,fail-safe,insufficient voiced frames is refused with a named reason,"(None, insufficient_voiced_frames)","(None, insufficient_voiced_frames)",PASS,,
TV094,fail-safe,NaN-filled audio never yields a usable trajectory,None,insufficient_voiced_frames,PASS,,
TV095,fail-safe,Inf-filled audio never yields a usable trajectory,None,insufficient_voiced_frames,PASS,,
TV096,fail-safe,invalid expected tone None cannot PASS,RETRY,RETRY,PASS,,
TV097,fail-safe,invalid expected tone '' cannot PASS,RETRY,RETRY,PASS,,
TV098,fail-safe,invalid expected tone '5' cannot PASS,RETRY,RETRY,PASS,,
TV099,fail-safe,invalid expected tone '0' cannot PASS,RETRY,RETRY,PASS,,
TV100,fail-safe,invalid expected tone 'T2' cannot PASS,RETRY,RETRY,PASS,,
TV101,fail-safe,invalid expected tone 2 cannot PASS,RETRY,RETRY,PASS,,
TV102,fail-safe,invalid expected tone 2.0 cannot PASS,RETRY,RETRY,PASS,,
TV103,fail-safe,invalid expected tone '  2  ' cannot PASS,RETRY,RETRY,PASS,,
TV104,fail-safe,missing expected tone with no trajectory is RETRY,RETRY/trajectory_unavailable,RETRY/trajectory_unavailable,PASS,,
TV105,fail-safe,a tampered threshold breaks the frozen self-hash,hash mismatch detected,detected,PASS,,in-memory tamper only; the file on disk is untouched
TV106,fail-safe,the frozen file on disk is still byte-identical after tamper test,8101bcaf8c92e1e3,8101bcaf8c92e1e3,PASS,,
TV107,fail-safe,an all-NaN trajectory reaching the scorer cannot PASS,RETRY or hard failure,score=0.494891 -> RETRY,PASS,,"the median imputer replaces NaN, so the guard must live upstream -- infer() rejects non-finite contours before scoring"
TV108,logging,every required research-log field is present,10 fields,missing: none,PASS,,
TV109,logging,internal raw score is retained in the research log,present for scored trials,6/6 rows carry a score,PASS,,
TV110,privacy,technical inference requires no participant-identifying field,no identifying field in the log schema,none,PASS,,
TV111,privacy,learner-facing output is one of exactly two frozen messages,"{PASS_MESSAGE, RETRY_MESSAGE}",2 distinct message(s),PASS,,
TV112,privacy,no forbidden term appears in a learner-facing message,no forbidden term,clean,PASS,,
TV113,privacy,no digit reaches a learner-facing message,no digits,clean,PASS,,
TV114,privacy,no forbidden verdict label is emitted,"['PASS', 'RETRY']","['PASS', 'RETRY']",PASS,,
TV115,privacy,learner-facing message surfaces are enumerated,every producer of a learner message is known,"preflight_fresh_validation.py, verify_frozen_system.py",PASS,,OMPAL_R2_PASS_v1 has no HTTP route and no UI binding yet; the only learner-facing strings are these two constants
TV116,runtime,technical reference batch completes without hard failure,0 hard failures,"0 hard failures, 11 scored, 1 safe RETRY",PASS,,
TV117,runtime,"latency is reported, not used as a pass criterion",reported,"median 2.3 ms, p95 6.0 ms, cold start 1.2 s",PASS,,"pre-extracted single-token audio already on disk; this is NOT an end-user latency estimate -- it excludes capture, upload, forced alignment and token segmentation"
TV118,stress,500 calls complete without a crash,0 crashes,0 crashes,PASS,,
TV119,stress,no decision instability under repeated load,0 changed decisions,0 changed,PASS,,
TV120,stress,no file-handle or resource error,0 resource errors,0,PASS,,
TV121,stress,model is not silently reloaded during the run,bce84b07cc594bb5,bce84b07cc594bb5,PASS,,
TV122,stress,frozen system hash is unchanged after the stress run,8101bcaf8c92e1e3,8101bcaf8c92e1e3,PASS,,
TV123,stress,python heap growth over the stress run is bounded,< 32 MB,0.02 MB,PASS,,
TV124,artifact integrity,independent OMPAL Test seal verifier reports SEALED,exit 0,exit 0,PASS,,authority: verify_ompal_test_seal.py
TV125,artifact integrity,no Test-split row is present in the feature cache,0 rows,0 rows,PASS,,
TV126,artifact integrity,"Test split still exists in the manifest (sealed, not deleted)",322 test rows defined,322 test rows,PASS,,
TV127,artifact integrity,golden regression fixture written and self-consistent,"12 entries, no Test material","12 entries, 4 PASS",PASS,,
