"question_id","word_id","target_word","pinyin","pos","simple_english_meaning","round","question_type","answer_format","prompt","options_json","correct_answer","accepted_answers_json","explanation"
"L5_3_004_R2","L5_3_004","窗戶","chuānghù","N","window","2","character_to_pinyin_typing","free_text","Type the pinyin for 窗戶.","[]","chuānghù","[""chuānghù""]","窗戶前面有很多花，很漂亮。"
"L5_3_005_R1","L5_3_005","門","mén","N","door","1","basic_meaning_mcq","single_choice","In 「弟弟在門後面」, what does 「門」 mean?","[""door"",""window"",""room"",""sofa""]","door","[""door""]","「門」 means door."
"L5_3_005_R3","L5_3_005","門","mén","N","door","3","context_cloze_mcq","single_choice","Complete the textbook sentence: 弟弟在___後面。","[""門"",""窗戶"",""房間"",""床""]","門","[""門""]","弟弟在門後面。"
"L5_3_005_R2","L5_3_005","門","mén","N","door","2","character_to_pinyin_typing","free_text","Type the pinyin for 門.","[]","mén","[""mén""]","弟弟在門後面。"
"L5_3_006_R1","L5_3_006","貓","māo","N","cat","1","basic_meaning_mcq","single_choice","In 「我家有一隻貓、兩隻狗和三隻鳥」, what does 「貓」 mean?","[""cat"",""dog"",""bird"",""book""]","cat","[""cat""]","「貓」 means cat."
"L5_3_006_R3","L5_3_006","貓","māo","N","cat","3","context_cloze_mcq","single_choice","Complete the textbook sentence: 我家有一隻___、兩隻狗和三隻鳥。","[""貓"",""狗"",""鳥"",""床""]","貓","[""貓""]","我家有一隻貓、兩隻狗和三隻鳥。"
"L5_3_006_R2","L5_3_006","貓","māo","N","cat","2","character_to_pinyin_typing","free_text","Type the pinyin for 貓.","[]","māo","[""māo""]","我家有一隻貓、兩隻狗和三隻鳥。"
"L5_3_007_R1","L5_3_007","狗","gǒu","N","dog","1","basic_meaning_mcq","single_choice","In 「我家有一隻貓、兩隻狗和三隻鳥」, what does 「狗」 mean?","[""dog"",""cat"",""bird"",""book""]","dog","[""dog""]","「狗」 means dog."
"L5_3_007_R3","L5_3_007","狗","gǒu","N","dog","3","context_cloze_mcq","single_choice","Complete the textbook sentence: 我家有一隻貓、兩隻___和三隻鳥。","[""狗"",""貓"",""鳥"",""門""]","狗","[""狗""]","我家有一隻貓、兩隻狗和三隻鳥。"
"L5_3_007_R2","L5_3_007","狗","gǒu","N","dog","2","character_to_pinyin_typing","free_text","Type the pinyin for 狗.","[]","gǒu","[""gǒu""]","我家有一隻貓、兩隻狗和三隻鳥。"
"L5_3_008_R1","L5_3_008","鳥","niǎo","N","bird","1","basic_meaning_mcq","single_choice","In 「我家有一隻貓、兩隻狗和三隻鳥」, what does 「鳥」 mean?","[""bird"",""cat"",""dog"",""book""]","bird","[""bird""]","「鳥」 means bird."
"L5_3_008_R3","L5_3_008","鳥","niǎo","N","bird","3","context_cloze_mcq","single_choice","Complete the textbook sentence: 我家有一隻貓、兩隻狗和三隻___。","[""鳥"",""貓"",""狗"",""電視機""]","鳥","[""鳥""]","我家有一隻貓、兩隻狗和三隻鳥。"
"L5_3_008_R2","L5_3_008","鳥","niǎo","N","bird","2","character_to_pinyin_typing","free_text","Type the pinyin for 鳥.","[]","niǎo","[""niǎo""]","我家有一隻貓、兩隻狗和三隻鳥。"
"L5_3_009_R1","L5_3_009","隻","zhī","M","measure word for animals","1","basic_meaning_mcq","single_choice","In 「我家有一隻貓、兩隻狗和三隻鳥」, what does 「隻」 mean?","[""measure word for animals"",""measure word for tables"",""a number"",""a place""]","measure word for animals","[""measure word for animals""]","「隻」 means measure word for animals."
"L5_3_009_R3","L5_3_009","隻","zhī","M","measure word for animals","3","context_cloze_mcq","single_choice","Complete the textbook sentence: 我家有一___貓、兩隻狗和三隻鳥。","[""隻"",""張"",""台"",""個""]","隻","[""隻""]","我家有一隻貓、兩隻狗和三隻鳥。"
"L5_3_009_R2","L5_3_009","隻","zhī","M","measure word for animals","2","character_to_pinyin_typing","free_text","Type the pinyin for 隻.","[]","zhī","[""zhī""]","我家有一隻貓、兩隻狗和三隻鳥。"
"L5_3_010_R1","L5_3_010","曬太陽","shài tàiyáng","phrase","to bask in the sun","1","basic_meaning_mcq","single_choice","In 「我的貓在房子外面曬太陽」, what does 「曬太陽」 mean?","[""to bask in the sun"",""to watch television"",""to read in bed"",""to cook""]","to bask in the sun","[""to bask in the sun""]","「曬太陽」 means to bask in the sun."
"L5_3_010_R3","L5_3_010","曬太陽","shài tàiyáng","phrase","to bask in the sun","3","context_cloze_mcq","single_choice","Complete the textbook sentence: 我的貓在房子外面___。","[""曬太陽"",""看電視"",""看書"",""做飯""]","曬太陽","[""曬太陽"",""晒太陽""]","我的貓在房子外面曬太陽。 Both 曬太陽 and 晒太陽 (shài tàiyáng) mean to bask in the sun."
"L5_3_010_R2","L5_3_010","曬太陽","shài tàiyáng","phrase","to bask in the sun","2","character_to_pinyin_typing","free_text","Type the pinyin for 曬太陽.","[]","shài tàiyáng","[""shài tàiyáng""]","我的貓在房子外面曬太陽。 Both 曬太陽 and 晒太陽 (shài tàiyáng) mean to bask in the sun."
"L5_3_011_R1","L5_3_011","太陽","tàiyáng","N","the sun","1","basic_meaning_mcq","single_choice","In 「我的貓在房子外面曬太陽」, what does 「太陽」 mean?","[""the sun"",""the moon"",""a window"",""a room""]","the sun","[""the sun""]","「太陽」 means the sun."
"L5_3_011_R3","L5_3_011","太陽","tàiyáng","N","the sun","3","context_cloze_mcq","single_choice","Complete the textbook sentence: 我的貓在房子外面曬___。","[""太陽"",""窗戶"",""門"",""房間""]","太陽","[""太陽""]","我的貓在房子外面曬太陽。"
"L5_3_011_R2","L5_3_011","太陽","tàiyáng","N","the sun","2","character_to_pinyin_typing","free_text","Type the pinyin for 太陽.","[]","tàiyáng","[""tàiyáng""]","我的貓在房子外面曬太陽。"
